lon,lat,name
4.469936,50.503887,Belgium
-106.346771,56.130366,Canada
104.195397,35.86166,China
10.451526,51.165691,Germany
78.96288,20.593684,India
113.921327,-0.789275,Indonesia
12.56738,41.87194,Italy
138.252924,36.204824,Japan
101.975766,4.210484,Malaysia
-102.552784,23.634501,Mexico
5.291266,52.132633,Netherlands
103.819836,1.352083,Singapore
22.937506,-30.559482,South Africa
127.766922,35.907757,South Korea
100.992541,15.870032,Thailand
-3.435973,55.378051,United Kingdom
-95.712891,37.09024,USA
